ID	e4	e6	e10	e14	eN	mN	latN	adult
CD12393	4	4	3	1	0	0	0	0
CD12394	2107	11	0	4	0	0	0	0
CD12396	72	3	6	44	0	0	0	59
CD12398	62	5	0	1	0	0	0	1
CD12399	97	5	4	108	1114	1401	2018	55
CD12400	1577	2604	3325	1645	744	691	888	1308
CD12401	1722	7306	3359	2660	539	291	475	4958
CD12402	196	196	391	400	957	606	788	1194
CD12403	1139	905	591	318	462	582	609	305
CD12404	29	1	11	111	196	248	30	1
CD12405	221	241	331	251	409	287	501	399
CD12406	590	812	2558	2267	2047	1428	2023	2468
CD12407	157	94	133	116	127	241	134	85
CD12408	47	53	1471	1276	198	1176	32	202
CD12409	1372	911	491	561	480	481	415	414
CD12410	8	26	71	72	27	311	7	0
CD12411	1023	481	85	176	456	497	744	1122
CD12412	472	259	848	505	355	202	389	1699
CD12413	2352	1606	731	616	548	311	290	60
CD12414	234	309	451	389	705	850	1395	253
CD12415	923	475	2192	1112	376	217	280	1806
CD12416	155	113	151	87	113	101	97	49
CD12417	871	702	776	743	1727	1157	2134	3058
CD12418	22	3	636	2098	267	50	7	29
CD12419	41	55	127	84	30	54	19	34
CD12420	0	0	2	78	181	229	44	1
CD12421	92	62	1057	930	47	58	32	607
CD12422	398	261	645	352	347	276	299	259
CD12423	1	8	8	15	9	241	9	1
CD12424	1085	495	661	1224	2222	384	844	477
CD12425	43	82	147	95	329	264	612	674
CD12426	1	3	1	1	6	0	7	9
CD12427	500	332	467	218	198	120	134	237
CD12428	1521	2119	2174	1029	2080	2166	1898	595
CD12429	316	165	336	1010	2071	1537	936	383
CD12430	957	918	503	481	412	182	348	821
CD12431	3	0	4	6	0	4	0	4
CD12432	90	6	2	8	0	0	0	4
CD12433	4231	6011	4185	4628	7643	22761	7543	968
CD12434	1484	1475	856	956	643	877	663	340
CD12435	0	0	11	3	0	0	2	4
CD12436	662	675	859	703	809	749	674	398
CD12437	276	4	380	418	166	105	123	426
CD12438	2416	1646	825	574	619	392	461	112
CD12439	6	70	14	27	0	0	0	8
CD12440	568	591	464	590	1055	1273	1091	492
CD12441	19	371	328	895	9	16	12	182
CD12442	244	134	17	18	15	89	86	257
CD12443	124	47	2001	1640	2349	2309	846	396
CD12444	61	100	99	116	361	730	287	45
CD12445	585	397	796	570	394	342	589	1205
CD12446	0	0	1	17	130	101	58	1
CD12447	2255	2539	1617	2104	2477	3097	2204	2105
CD12448	1021	1102	1444	836	1333	1215	1219	330
CD12449	129	809	180	586	33	74	100	18
CD12450	1784	2672	2416	1452	1203	1296	1261	743
CD12451	1107	2691	905	597	98	202	37	12
CD12452	4714	6225	7809	4328	2503	1735	1624	3220
CD12453	6	5	4	9	6	0	5	2
CD12454	3	3	8	2	6	8	2	6
CD12455	27	29	98	176	139	361	107	248
CD12456	1685	1800	1618	849	989	897	1080	429
CD12457	15	115	11	115	1226	47	21	24
CD12458	910	733	697	593	421	342	593	654
CD12459	40	22	1974	1194	939	524	904	2654
CD12460	417	654	455	834	1253	2337	1509	1600
CD12461	540	971	620	434	335	311	355	704
CD12462	421	549	263	357	281	318	368	342
CD12463	2261	2426	2266	2374	3288	2919	3997	2834
CD12464	2	2	3	0	0	8	2	4
CD12465	10	2	40	381	43799	18080	141	22
CD12466	519	710	767	404	459	423	424	290
CD12467	4	1	436	244	110	54	60	119
CD12468	2	2	0	12	160	361	176	1
CD12469	267	282	311	204	320	435	406	273
CD12470	1272	1648	1216	1498	4284	6843	4676	2307
CD12471	2013	1956	1249	1216	554	276	561	3634
CD12473	222	435	522	152	83	39	35	43
CD12474	543	169	184	119	243	489	218	166
CD12475	563	597	5026	4791	1686	1595	1750	6912
CD12476	250	219	365	242	524	854	679	379
CD12477	60	43	60	36	0	0	0	100
CD12478	6	5	7	228	169	39	44	13
CD12479	1517	1477	1890	2527	2637	2919	2920	2176
CD12480	4	1	5158	1811	15	19	46	4
CD12481	1547	1529	557	509	355	206	195	566
CD12482	7	0	2	4	83	411	299	30
CD12483	320	262	553	673	169	147	130	942
CD12484	1	0	147	62	6	0	5	183
CD12485	2978	3825	3447	3312	2157	1494	1821	2137
CD12486	394	326	1047	629	764	656	679	1196
CD12487	73	74	166	209	284	411	572	198
CD12488	77	102	41	34	47	47	49	62
CD12489	211	365	87	129	41	31	16	306
CD12490	1	1	18	24	0	0	0	28
CD12491	91	198	84	353	581	660	1045	345
CD12492	378	178	265	157	136	116	114	150
CD12493	170	657	176	535	915	765	623	338
CD12494	34931	1604	45	131	41	58	21	57
CD12495	10	0	45	107	136	97	28	3
CD12496	194	183	190	133	154	213	162	134
CD12497	322	413	118	71	175	147	137	223
CD12498	3	0	2	50	9	171	2	4
CD12499	6	103	388	218	24	16	16	42
CD12500	2531	3807	1037	587	62	62	239	4998
CD12501	257	175	219	203	275	248	341	141
CD12502	498	420	273	162	101	109	109	95
CD12503	1143	1271	122	112	80	70	116	112
CD12504	5055	2420	4651	3016	744	349	331	1832
CD12506	5	3	0	0	0	4	2	0
CD12508	5	3	0	0	0	4	2	0
CD12509	20	38	60	26	12	8	2	26
CD12510	44	32	35	19	21	12	14	16
CD12511	133	160	239	77	33	12	12	111
CD12512	114	115	153	66	50	31	28	64
CD12514	22	20	39	15	9	8	0	29
CD12515	89	131	196	75	50	23	23	77
CD12516	0	0	1	0	0	4	0	5
CD12517	158	160	249	106	136	89	65	118
CD12518	276	299	358	154	181	105	95	151
CD12519	47	61	105	32	53	43	25	48
CD12520	153	123	207	102	133	140	76	84
CD12521	12	15	27	15	9	4	5	18
CD12522	92	71	102	39	53	39	28	37
CD12523	42	64	132	75	3	0	2	62
CD12524	173	231	393	164	163	93	95	229
CD12525	6	24	43	20	41	23	19	20
CD12527	153	166	224	105	175	124	116	121
CD12528	5	1	10	3	21	16	14	0
CD12529	3	1	82	31	0	0	0	13
CD12532	21	9	9	28	12	4	2	1
CD12533	22	2	14	27	139	47	116	652
CD12534	29	1	2	3	169	167	294	514
CD12535	3	1	2	387	551	703	134	65
CD12536	19125	1492	2634	2054	7350	14610	19308	32399
CD12537	28	138	1802	833	15	39	2	131
CD12538	12	36	34	26	9	8	2	5
CD12539	2	7	4	0	0	0	0	0
CD12541	206	777	320	75	44	23	7	2
CD12543	109	90	1	1	0	0	0	0
CD12544	10	21	2	2	0	0	0	0
CD12545	47	21	8	23	6	0	2	16
CD12549	0	5	3	11	6	0	16	25
CD12550	687	1128	756	614	732	1114	793	431
CD12551	340	277	233	249	293	462	468	199
CD12552	316	395	523	228	107	78	65	184
CD12553	16	43	92	89	86	93	139	222
CD12554	5	0	4	4	3	4	5	0
CD12555	3	4	5	36	1001	1145	197	18
CD12556	372	364	540	326	281	287	290	263
CD12557	343	274	203	152	169	124	127	146
CD12558	18	119	52	71	151	93	171	152
CD12559	140	30	1	0	0	0	0	0
CD12560	1	0	7	149	3	0	0	1
CD12561	3	24	18	12	12	8	14	8
CD12562	10	31	34	16	9	8	14	27
CD12564	0	0	1	12	3	0	0	0
CD12565	1	1	4	4	6	4	5	3
CD12566	3	9	73	29	59	74	88	56
CD12567	166	9	2	125	12	0	0	1
CD12569	414	231	410	399	367	303	313	398
CD12570	1214	317	4	2	3	0	0	1
CD12571	2204	96	0	45	0	0	2	1
CD12572	1030	1196	1178	714	904	703	850	605
CD12573	590	15	0	0	0	0	0	0
CD12574	864	3915	4971	7202	2287	1199	1724	4331
CD12575	12	2	68	240	12	8	7	121
CD12576	771	1237	2203	3433	678	369	419	2283
CD12577	2	1	1	89	33	16	16	0
CD12578	7	1	0	17	6	8	2	1
CD12579	2	9	11	37	59	97	30	13
CD12580	8	0	0	28	3	0	0	1
CD12581	23	4	0	1	0	0	0	0
CD12582	9	22	245	159	41	31	14	35
CD12583	160	3	0	0	0	0	0	0
CD12585	668	2268	963	1079	678	1048	751	799
CD12586	228	3	0	0	0	0	0	0
CD12587	20	29	15	43	80	105	102	74
CD12589	615	13	0	0	0	0	0	0
CD12590	2	5	1	13	598	753	508	2
CD12591	73	4	0	4	0	0	0	1
CD12592	15	1	0	0	0	0	0	0
CD12593	2888	4755	5	0	0	0	0	0
CD12594	33	53	439	186	264	314	109	43
CD12595	5	3	0	4	3	0	0	0
CD12596	70	13	26	47	9	8	5	43
CD12597	639	1300	14	9	3	0	0	1
CD12598	383	475	1	2	0	0	0	0
CD12599	370	251	288	150	6	4	5	335
CD12600	14	11	2	93	33	19	12	1
CD12601	5740	2258	4	6	3	8	0	2
CD12602	2048	1574	321	454	367	373	514	419
CD12604	20	2	0	0	0	0	0	0
CD12605	7	0	0	0	0	0	0	0
CD12607	1658	1769	1335	966	681	415	686	1709
CD12608	484	537	318	403	258	982	642	579
CD12609	12	24	68	50	24	82	14	18
CD12610	500	63	18	14	3	4	2	3
CD12611	2	1	36	25	33	35	30	18
CD12612	60	198	689	320	110	66	72	453
CD12613	3	36	4	9	15	23	23	35
CD12615	5269	7193	5795	5317	1697	1296	1736	2896
CD12616	929	1122	1828	917	533	303	519	1687
CD12617	1	1	14	249	172	47	12	5
CD12618	29	1	70	797	178	466	1045	28
CD12619	813	759	757	439	421	295	357	421
CD12620	5	5	4	1359	3	4	0	16
CD12621	1	0	9	14	98	66	23	3
CD12622	24	37	18	2	0	0	2	1
CD12623	10	1	65	196	267	136	151	153
CD12624	1	0	14	13	83	105	90	7
CD12625	2495	3792	1452	1661	2077	2022	3047	1604
CD12627	1	1	20	51	21	8	9	55
CD12628	1265	986	4970	2171	921	613	1231	3529
CD12629	667	138	2	1	0	0	2	1
CD12630	4313	4359	4691	5096	1292	819	1404	15031
CD12631	234	12	0	7	0	8	0	2
CD12632	281	331	319	164	296	497	313	146
CD12633	57	9	13	30	21	50	107	1243
CD12634	211	16	0	6	3	0	0	1
CD12635	1271	1434	1390	1229	456	295	408	841
CD12636	100	6	215	413	24	12	12	264
CD12637	1634	980	918	653	1049	959	1024	624
CD12638	1698	1770	2028	1145	1644	1502	1673	1082
CD12639	2	5	1	76	12	12	7	2
CD12640	93	61	58	48	113	144	100	30
CD12641	4180	8283	2539	5443	667	606	723	1228
CD12642	0	0	0	0	33	31	12	0
CD12643	65	3	6	6	178	116	88	696
CD12646	21	7	150	243	83	43	49	201
CD12647	2	2	5	20	6	16	7	8
CD12650	10	0	7	15	18	12	14	13
CD12651	25	0	11	34	6	12	7	32
CD12652	33	37	28	36	59	105	95	15
CD12653	80	2	2	57	89	85	109	1
CD12654	164	5	0	3	0	0	0	0
CD12655	169	5	0	3	0	0	0	0
CD12656	1	0	0	8	0	0	2	0
CD12657	241	15	0	6	0	0	0	0
CD12658	12	1	0	44	39	50	25	12658
CD12659	61	185	154	99	3	4	2	300
CD12660	1187	2206	1819	1353	210	326	171	2486
CD12661	377	302	211	119	225	279	266	422
CD12662	11	33	107	1190	65	85	165	294
CD12663	2116	920	623	362	317	163	176	22
CD12664	2	0	6	13	151	109	209	528
CD12667	36	95	33	89	12	4	7	172
CD12669	21	11	3	12	36	54	21	11
CD12670	2451	768	5551	31410	3475	2915	7177	11811
CD12671	23	2	77	32	18	12	14	250
CD12672	903	1063	787	525	566	586	443	440
CD12673	8	1	6	14	24	31	28	11
CD12674	286	542	627	731	261	322	271	322
CD12675	562	574	567	902	92	66	121	1413
CD12677	41	49	556	321	148	78	58	88
CD12678	7693	11274	2725	3392	1635	1428	2102	2610
CD12681	12	13	195	120	77	31	32	33
CD12682	520	884	516	480	305	489	445	355
CD12683	231	402	126	342	124	345	248	237
CD12684	1	2	3	9	0	0	0	5
CD12685	10	25	14	38	118	182	46	2
CD12686	1244	804	2898	1125	50	31	37	1614
CD12687	417	370	418	488	2151	1964	1550	680
CD12688	10	9	26	507	3	31	2	39
CD12689	25	3	3	40	15	8	5	52
CD12690	6203	13090	7257	3474	4044	5298	7063	5633
CD12691	164	339	382	207	80	62	125	302
CD12692	105	13	48	101	9	19	37	163
CD12693	1122	764	649	871	1383	1176	2769	4549
CD12694	364	388	489	1390	1902	1145	2118	1397
CD12695	7	1	0	59	3	4	0	0
CD12696	6	3	0	0	0	0	0	0
CD12697	17	1	0	2	0	0	0	0
CD12699	225	3	0	0	0	0	0	0
CD12700	9	0	0	0	0	0	0	0
CD12701	13	0	0	0	0	0	0	0
CD12702	102	3	12	529	735	664	751	331
CD12703	12	0	0	727	3	0	0	0
CD12705	24	1	0	0	0	0	0	0
CD12706	460	1	0	0	0	4	0	0
CD12707	18	0	0	0	0	0	0	0
CD12708	30	1	0	0	0	0	0	0
CD12710	6	0	0	0	0	0	0	0
CD12712	140	0	0	0	0	0	0	0
CD12713	270	1	0	0	0	0	0	0
CD12714	1	1	4	41	133	43	25	1
CD12715	8	0	0	0	3	0	0	0
CD12716	3	0	2	2	9	19	9	12
CD12717	24	47	999	466	604	633	714	752
CD12718	343	201	86	97	196	213	171	51
CD12719	6	13	2	0	0	0	0	1
CD12720	303	473	345	154	62	54	60	76
CD12721	115	177	158	166	317	287	350	207
CD12722	860	729	858	558	927	928	876	600
CD12723	1246	2669	1649	841	1380	998	1124	415
CD12724	309	423	425	384	270	213	294	458
CD12725	64	23	6	372	1920	1879	1235	121
CD12726	5203	4718	3637	2799	3010	2814	3015	2742
CD12727	74	125	52	79	74	78	60	60
CD12729	268	553	193	118	175	206	199	118
CD12731	120	297	393	368	646	633	762	380
CD12732	837	872	564	579	655	823	793	218
CD12733	215	179	151	125	148	171	162	74
CD12734	2	6	93	174	44	66	2	3
CD12735	1	1	15	71	15	27	2	1
CD12736	3	55	9	40	15	23	14	28
CD12737	261	1263	584	367	44	66	23	37
CD12738	16	51	313	386	403	307	443	520
CD12740	10	5	4	77	18	27	51	25
CD12742	3	9	4	2	12	0	9	1
CD12743	228	156	10	14	3	4	2	3
CD12744	617	1413	682	649	204	116	359	1984
CD12745	239	483	36	11	27	58	58	6
CD12746	9	20	5	94	3	8	5	3
CD12747	264	827	480	343	187	229	246	151
CD12748	1	70	58	0	121	74	104	90
CD12749	3051	1072	519	662	290	167	280	2604
CD12750	160	153	137	94	130	330	174	125
CD12751	3387	2696	6162	3478	1760	1153	1539	4233
CD12752	1661	2054	1386	1309	1348	1176	1275	1812
CD12753	234	190	514	316	148	93	88	211
CD12754	524	198	540	1806	421	322	389	4510
CD12755	697	404	175	1662	1303	842	1713	2298
CD12756	15	11	27	7	0	0	0	16
CD12757	1	0	5	52	98	194	102	69
CD12758	473	433	200	203	314	268	243	166
CD12759	508	737	745	2420	4989	9253	10155	738
CD12760	1310	1428	2987	1293	859	722	846	1227
CD12761	504	160	1190	544	584	415	535	621
CD12762	219	90	122	119	142	116	97	85
CD12763	20066	20690	2	4	0	0	0	0
CD12764	260	313	576	627	616	295	329	348
CD12765	427	409	399	341	397	489	371	235
CD12766	10	13	122	343	62	279	56	85
CD12769	241	274	517	213	261	147	153	278
CD12770	3020	2661	3857	1676	1141	602	660	1640
CD12771	0	0	6	0	6	4	5	0
CD12772	235	394	136	98	71	50	70	63
CD12773	215	144	203	139	231	349	269	158
CD12774	2822	4017	8221	2934	1680	1044	1349	2625
CD12775	310	238	199	208	373	637	433	190
CD12776	6	1	5963	6203	62	229	32	20
CD12777	258	7	63	208	237	155	127	68
CD12778	680	898	325	248	246	516	512	247
CD12779	673	603	920	476	382	206	178	629
CD12780	3	1	9	430	3845	1716	127	533
CD12781	57	83	171	68	92	62	58	143
CD12782	1706	1325	1793	1002	824	516	633	679
CD12783	2961	5256	2251	1287	267	151	151	1820
CD12784	1	0	25	57	15	144	5	7
CD12785	653	1148	990	2099	2296	2046	4614	2968
CD12786	151	21	16	20	3	0	2	27
CD12788	232	200	299	152	157	85	90	172
CD12789	238	274	211	96	216	171	109	189
CD12790	569	257	232	225	234	295	355	321
CD12791	879	663	544	391	418	326	399	509
CD12792	551	615	832	310	711	835	758	470
CD12793	758	872	1009	595	441	357	496	929
CD12794	3177	1528	2130	1284	1058	850	795	1163
CD12795	183	146	178	149	181	311	213	145
CD12796	2	0	306	268	299	245	204	80
CD12797	7	4	115	178	284	675	526	8
CD12798	181	187	222	389	927	408	484	306
CD12799	2	12	10	10	24	31	23	2
CD12800	84	20	159	326	486	392	742	1457
CD12801	244	239	175	158	181	279	793	1600
CD12802	3	13	21	37	41	97	30	20
CD12803	166	87	73	986	4390	3703	4048	6263
CD12804	710	127	2	55	3	4	0	4
CD12805	9	18446	14413	3971	0	0	0	0
CD12807	441	24	0	13	0	4	0	3
CD12808	5763	8107	2788	2455	1289	1436	1536	1894
CD12809	503	483	431	436	507	885	786	646
CD12810	1187	1372	1647	905	1046	924	978	701
CD12812	30	152	4	4	0	0	0	0
CD12814	11	4	5	44	30	43	2	1
CD12816	4	0	1	49	3	4	0	4
CD12817	7	15	9	62	181	147	162	194
CD12818	390	714	571	951	607	835	774	371
CD12819	0	2	18	82	3	0	0	3
CD12820	194	26	15	53	118	97	151	408
CD12821	550	486	745	459	74	50	63	451
CD12822	194	175	244	229	355	314	373	274
CD12823	1054	1406	881	633	234	144	195	453
CD12824	29	1	11	20794	127701	132549	160462	3392
CD12825	161	63	31	42	3	0	5	21
CD12826	798	730	459	623	1333	1227	1145	705
CD12827	36	28	419	1044	21	1005	14	177
CD12828	3273	4401	5831	3171	338	190	216	4376
CD12829	90	334	44	48	213	163	192	6
CD12830	789	36	10	83	3	4	5	3
CD12831	934	876	447	599	453	563	672	1196
CD12832	86	49	155	190	3	16	5	5
CD12833	10	502	31	12	0	0	0	0
CD12834	32	1	112	218	187	116	246	429
CD12835	3	0	1	116	6	8	5	42
CD12836	12735	13722	79	7	0	0	2	1
CD12837	4	2877	468	194	0	0	0	0
CD12838	138	251	148	2013	7844	14590	6811	2307
CD12839	1853	2861	8032	2215	483	245	304	3505
CD12840	273	41	3	7	3	0	0	0
CD12841	1586	7444	4667	752	1383	780	253	102
CD12842	1501	1929	1832	2400	981	807	925	1271
CD12843	1268	86	24	69	24	23	12	9
CD12844	3	7	3	1	0	0	0	0
CD12845	10122	1943	26	21	0	0	0	0
CD12846	1354	5608	1503	2730	856	978	841	868
CD12847	256	166	296	252	261	380	260	118
CD12848	2	8	57	307	18	12	12	3
CD12849	1544	1638	911	1065	989	516	1098	2656
CD12850	1337	1474	1472	987	1460	1234	1502	1501
CD12851	39	26079	4089	564	0	0	0	0
CD12852	5	3	5	52	89	171	60	31
CD12853	10515	5992	2992	2040	1754	1704	1648	2363
CD12854	7	0	0	5	0	0	0	1
CD12855	12	91	681	288	163	62	70	65
CD12856	31	5	203	740	21	35	5	170
CD12857	3504	5601	3824	4024	5092	10926	6243	1088
CD12858	63	11732	399	89	0	0	0	0
CD12859	145	95	117	139	163	190	216	172
CD12860	3	2	192	167	65	74	81	98
CD12861	133	98	793	3511	6680	14948	1861	918
CD12862	530	501	743	521	364	217	357	499
CD12863	533	560	454	461	841	1126	1161	385
CD12864	55	144	39	46	0	0	2	1
CD12865	5	8	6	2	0	0	0	0
CD12866	1040	699	760	465	453	377	406	555
CD12867	1	1	2	710	12	50	9	1
CD12868	45	1	557	1563	311	128	552	3735
CD12869	1	1	0	486	6	8	2	3
CD12870	566	512	448	428	231	171	415	1214
CD12871	1	3	0	2469	0	0	0	1
CD12872	8116	8604	1737	6665	27734	17781	24926	3692
CD12873	19	18	14	6	0	0	0	4
CD12874	18	15	12	8	0	0	0	3
CD12875	2	0	22	55	15	8	23	169
CD12876	817	2083	922	317	24	0	21	182
CD12878	346	115	73	59	53	35	30	24
CD12879	18	1	1	9	21	12	9	0
CD12880	21	6	51	450	190	1925	58	639
CD12881	25	5	14	334	1576	1510	978	6617
CD12882	290	288	278	189	317	299	368	336
CD12883	187	98	928	369	41	16	25	1388
CD12884	8	3	1	1	0	0	0	0
CD12885	43	55	39	44	30	23	23	27
CD12886	337	297	193	938	0	0	0	3
CD12887	20	37	16	20	15	12	9	24
CD12888	9	13	9	7	3	8	7	7
CD12889	310	237	158	120	154	109	183	169
CD12890	30	54	3	2	0	0	0	1
CD12891	6	1	1	168	634	582	209	44
CD12892	10	11	424	415	77	43	81	389
CD12893	36	36	114	37	6	4	5	239
CD12894	3	0	0	8	0	0	0	1
CD12895	8	1	4	4	33	4	2	47
CD12896	0	1	1	88	3	0	2	49
CD12898	13	38	5	2	6	0	5	8
CD12899	2	23	1	2	0	0	2	1
CD12900	0	1	0	66	53127	3128	496	2
CD12901	8	2	0	35078	52295	78266	32399	112
CD12902	42	33	125	531	1662	792	681	405
CD12903	0	0	0	129	45046	2146	283	1
CD12904	305	268	441	255	361	648	482	350
CD12905	145	170	111	87	178	272	181	150
CD12906	3	0	1	18	3907	1607	2646	53
CD12907	99	3	3	665	927	516	97	222
CD12908	93	5	76	259	376	198	311	558
CD12909	723	721	445	380	471	450	572	484
CD12911	604	1069	546	576	883	1809	874	438
CD12912	1	1	1	5042	149839	6564	2688	79
CD12913	31	41	83	111	98	147	90	68
CD12914	1190	1167	906	826	717	664	839	1363
CD12915	861	1516	1315	1172	2302	2787	2672	807
CD12916	988	69	354	126	86	66	90	42
CD12917	9	0	44	929	56	31	7	6
CD12918	67	49	109	225	172	272	137	379
CD12919	6156	13219	23184	7033	4047	3707	4352	7121
CD12921	123	73	81	78	62	175	93	97
CD12922	39	0	52	45	62	74	44	0
CD12923	38	54	74	136	86	116	67	61
CD12924	1	1	40	224	19054	37678	82615	244
CD12925	0	1	0	66	24588	1533	153	1
CD12926	810	1211	840	465	527	536	517	336
CD12927	1	0	47	505	139	171	23	1
CD12928	1859	2562	1163	1181	1514	1875	1768	747
CD12929	52	10	2	4	3	4	2	1
CD12930	4	0	0	37	1520	3191	1958	6
CD12931	353	501	597	458	749	710	823	449
CD12932	2	0	0	27	22478	70713	124251	861
CD12933	7	8	168	974	71	16	2	1
CD12934	2	0	11	275	954	1890	28	0
CD12935	0	0	0	1	1739	120	7	3
CD12936	300	328	224	263	424	803	422	134
CD12937	836	1038	626	672	459	221	229	118
CD12938	2	1	0	179	159728	12168	672	10
CD12939	1063	428	360	420	480	613	503	478
CD12940	574	517	492	319	536	466	616	180
CD12941	24	0	2	1	0	0	0	0
CD12942	1331	1816	2353	1581	1360	1149	1657	3132
CD12943	25	13	64	209	741	737	348	216
CD12944	9	9	4	114	6	4	7	11
CD12945	720	907	1129	670	219	155	253	837
CD12947	1	10	10	6	3	0	0	1
CD12948	73	235	116	52	104	85	109	78
CD12949	6158	4428	2506	1881	826	606	674	2026
CD12950	4	1	1	6	551	1518	7	1
CD12951	373	22	121	1407	933	2123	243	3956
CD12952	3	5	10	3	6	4	2	18
CD12953	3568	4485	574	956	441	318	640	3061
CD12954	0	1	1	2	33	47	0	8
CD12955	561	125	129	114	118	109	139	81
CD12956	13	3	4	16	1155	3249	5	34
CD12957	62	164	227	107	113	128	165	175
CD12958	0	0	0	7	9	8	0	2
CD12959	3	1	0	2	130	373	2	1
CD12962	60	12	10	5	3	0	5	117
CD12964	1162	1836	2371	1024	281	171	211	1475
CD12965	3192	3261	958	626	832	671	883	556
CD12966	3529	3869	2031	2193	1277	1184	1706	2578
CD12967	2614	4502	5553	2533	1783	1467	1502	2516
CD12968	184	460	598	302	124	109	151	186
CD12969	70	14	10	5	3	0	7	133
CD12970	747	737	627	465	421	431	524	562
CD12971	56	67	83	52	130	260	176	111
CD12972	145	255	279	168	290	613	320	134
CD12973	0	0	0	0	0	8	0	0
CD12974	215	54	22	62	9	12	14	21
CD12975	58	190	197	98	80	35	76	57
CD12979	7390	3189	3638	2953	264	136	276	12842
CD12980	5768	10156	23068	5056	278	109	107	6889
CD12981	12	15	30	19	18	31	14	8
CD12982	1515	1964	2180	1122	1668	1448	1527	769
CD12983	3091	144	3	77	3	4	9	100
CD12984	420	253	411	368	382	458	575	754
CD12985	459	493	318	305	243	252	385	334
CD12986	58	29	18	28	12	16	14	7
CD12987	5	3	51	52	12	4	19	182
CD12988	507	1168	278	181	21	35	30	27
CD12989	385	527	705	969	353	225	322	4291
CD12990	7	1	269	439	355	276	772	3592
CD12991	394	732	1664	554	281	109	111	555
CD12992	255	258	440	481	370	206	283	372
CD12993	546	1172	2430	349	0	0	0	775
CD12994	9	93	9	5	0	19	0	15
CD12995	373	18	0	13	0	0	0	1
CD12996	3	7	2	2	0	0	0	1
CD12999	1434	1592	3687	4839	9545	9413	9487	6823
CD13003	0	5	1	0	6	8	5	1
CD13004	28	102	177	81	107	85	139	100
CD13005	7	36	25	33	30	16	25	201
CD13006	0	0	0	0	6	4	2	0
CD13007	7	6	166	232	169	116	111	130
CD13009	225	425	98	231	0	0	2	0
CD13010	20	15	8	90	0	0	0	0
CD13011	1090	66	3	3	0	0	0	0
CD13012	409	2636	232	79	0	0	0	0
CD13013	3246	150	0	46	0	0	2	0
CD13014	530	28	0	2	0	0	0	0
CD13015	748	40	14	20	0	0	0	0
CD13016	32	1372	735	834	0	0	0	1
CD13017	420	28	5	9	0	0	0	0
CD13018	2595	165	32	77	0	4	0	1
CD13019	300	253	262	243	299	400	406	344
CD13020	200	35	9	3	0	0	0	1
CD13021	122	2298	497	516	0	0	0	1
CD13022	6	0	0	2	15	23	12	1
CD13023	3025	4886	2692	3374	566	245	514	6191
CD13024	293	25	9	7	0	0	0	0
CD13025	1685	98	14	42	3	0	0	1
CD13026	20	7	0	1	0	0	0	4
CD13027	306	233	342	227	290	248	262	288
CD13028	1416	305	45	79	0	0	0	0
CD13029	492	384	227	166	139	206	134	47
CD13030	616	925	1203	836	978	846	983	754
CD13031	38	21	1	1	0	4	0	9
CD13032	184	60	83	258	33	19	19	164
CD13033	2726	181	21	79	0	0	0	0
CD13034	480	44	5	11	0	0	0	1
CD13035	1291	121	28	49	0	4	0	1
CD13036	729	47	4	13	0	0	0	0
CD13037	631	533	668	2210	3484	5294	6808	13817
CD13038	130	12	0	2	0	0	0	0
CD13039	4182	1642	1865	1720	1434	1370	1745	1441
CD13040	360	315	325	372	806	897	1170	1403
CD13041	1301	62	5	25	0	0	0	1
CD13042	733	187	46	103	0	0	0	1
CD13043	2242	1410	82	58	0	0	0	1
CD13044	321	39	14	12	0	0	0	1
CD13045	294	34	9	9	0	0	0	0
CD13046	525	322	866	539	27	19	51	894
CD13047	1798	437	205	934	1126	757	589	377
CD13049	270	16	1	7	0	0	0	1
CD13050	829	56	12	21	0	0	0	0
CD13051	618	67	16	30	0	0	0	1
CD13052	781	76	14	22	0	0	0	1
CD13053	30	1	127	748	41	16	28	490
CD13054	360	211	216	132	83	66	86	162
CD13055	2329	100	7	48	3	0	0	17
CD13056	257	24	10	5	0	0	0	1
CD13057	1193	295	65	239	0	0	0	0
CD13058	17	873	498	451	0	0	0	1
CD13059	1716	92	30	45	0	0	0	1
CD13060	780	815	9	12	3	8	153	66
CD13061	7	1	0	0	0	0	0	0
CD13062	20	185	91	205	0	0	0	0
CD13063	637	102	0	10	0	0	0	0
CD13064	860	50	9	21	0	0	2	0
CD13065	2023	2082	183	788	0	0	0	1
CD13066	1049	284	52	195	0	0	0	1
CD13067	222	38	10	6	0	0	0	1
CD13068	20	185	107	205	0	0	0	0
CD13069	225	13	1	4	0	0	0	0
CD13070	403	35	3	8	0	0	0	0
CD13071	1078	2545	2461	1268	1298	901	1024	757
CD13072	612	237	31	42	0	0	0	0
CD13073	688	329	696	1606	527	248	410	2829
CD13074	92	26	6	2	0	0	0	0
CD13075	2183	2473	3059	1396	1769	1374	1397	1432
CD13077	1863	2504	2080	1281	1422	1215	1439	1831
CD13078	842	1022	1113	568	770	567	637	804
CD13079	3	0	12	142	3	12	2	0
CD13080	53	0	7	22	0	0	0	14
CD13081	516	506	606	545	744	877	892	625
CD13082	1	5	1	404	2186	3055	410	0
CD13083	829	389	939	1757	2794	2034	2707	10232
CD13084	1378	278	332	564	3513	1584	1557	1234
CD13085	653	1954	656	1391	3247	4879	3328	451
CD13086	539	567	493	320	435	365	429	137
