ID	e4	e6	e10	e14	eN	mN	latN	adult
CD00488	27	10	4	9	53	62	19	35
CD00489	907	679	898	711	486	400	473	861
CD00490	25	82	39	17	15	124	42	28
CD00491	1970	1290	2243	1628	2325	1782	1731	1322
CD00492	13	7	1	1	0	0	2	44
CD00493	8	0	25	42	12	4	14	39
CD00494	195	57	9	541	113	268	431	424
CD00495	25	8	4	15	6	8	23	85
CD00496	113	59	109	78	74	101	79	98
CD00497	9	1	16	25	6	4	5	42
CD00499	112	206	2498	860	353	175	331	329
CD00500	0	0	0	0	3	4	7	0
CD00501	778	961	574	394	1046	1413	2417	538
CD00502	27781	164668	39271	18549	3614	1789	2556	54009
CD00503	908	868	932	548	172	89	123	344
CD00505	2427	2934	2068	1556	2708	3008	4920	1227
CD00506	1411	1010	1059	1490	2699	2309	4222	5050
CD00507	13373	13396	4069	1963	773	621	857	2740
CD00508	3799	3443	1853	2048	1460	1991	2609	2435
CD00509	4245	3197	3970	2823	2764	1568	2709	17526
CD00510	364	984	1408	483	216	85	127	233
CD00511	7	1	36	145	33	35	0	1
CD00512	71	3	7	329	39	23	44	216
CD00513	3320	2249	810	1395	992	1009	1219	4748
CD00514	52	136	132	103	130	97	206	208
CD00515	765	54	30	55	9	8	5	11
CD00517	56	42	38	28	74	213	100	64
CD00518	65	28	133	143	39	31	25	88
CD00519	227	222	163	133	196	621	313	319
CD00520	143	146	1	757	2521	5585	4227	1050
CD00521	4989	6572	3032	5338	1289	1242	1205	5017
CD00522	1	4	84	95	33	23	16	4
CD00525	1232	1616	1538	988	735	656	503	912
CD00526	123	149	327	337	678	796	955	386
CD00528	30	23	1	4	0	0	0	1
CD00529	825	535	532	384	382	474	468	423
CD00530	2280	3029	5184	1695	275	163	169	1396
CD00531	490	681	1055	1042	1372	1339	1590	1358
CD00532	178	848	756	560	770	590	1017	785
CD00534	14	1	0	1	0	0	0	0
CD00536	204	347	142	330	507	241	359	396
CD00537	181	100	277	139	166	175	209	220
CD00538	1	9	2	2	6	8	9	15
CD00539	49	133	67	216	0	4	5	115
CD00540	0	0	0	7	15	12	25	6
CD00541	13394	99888	4135	2091	299	555	410	2308
CD00542	2	3	78	275	829	889	283	6
CD00543	24	44	3	2	44	35	12	3
CD00545	1085	1667	1158	1837	53	31	46	1230
